line,type,issue,detail
312,normalize,date_normalized,"{""event_date"": ""2012-03-31T06:00:00Z""}"
313,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
314,normalize,date_normalized,"{""event_date"": ""2012-08-29T06:00:00Z""}"
315,normalize,date_normalized,"{""event_date"": ""2011-01-11T07:00:00Z""}"
316,normalize,date_normalized,"{""event_date"": ""2010-07-27T06:00:00Z""}"
317,normalize,date_normalized,"{""event_date"": ""2009-06-18T06:00:00Z""}"
318,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
319,normalize,date_normalized,"{""event_date"": ""2011-11-20T07:00:00Z""}"
320,normalize,date_normalized,"{""event_date"": ""2010-09-28T06:00:00Z""}"
321,normalize,date_normalized,"{""event_date"": ""2012-03-26T06:00:00Z""}"
322,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
323,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
324,normalize,date_normalized,"{""event_date"": ""2014-08-29T06:00:00Z""}"
325,normalize,date_normalized,"{""event_date"": ""2012-09-10T06:00:00Z""}"
326,normalize,date_normalized,"{""event_date"": ""2013-01-21T07:00:00Z""}"
327,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
328,normalize,date_normalized,"{""event_date"": ""2011-07-20T06:00:00Z""}"
329,normalize,date_normalized,"{""event_date"": ""2009-11-18T07:00:00Z""}"
330,normalize,date_normalized,"{""event_date"": ""2011-04-20T06:00:00Z""}"
331,normalize,date_normalized,"{""event_date"": ""2009-11-26T07:00:00Z""}"
332,normalize,date_normalized,"{""event_date"": ""2010-05-14T06:00:00Z""}"
333,normalize,date_normalized,"{""event_date"": ""2011-06-02T06:00:00Z""}"
334,normalize,date_normalized,"{""event_date"": ""2012-06-09T06:00:00Z""}"
335,normalize,date_normalized,"{""event_date"": ""2009-11-28T07:00:00Z""}"
336,normalize,date_normalized,"{""event_date"": ""2011-10-28T06:00:00Z""}"
337,normalize,date_normalized,"{""event_date"": ""2012-08-28T06:00:00Z""}"
338,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
339,normalize,date_normalized,"{""event_date"": ""2011-03-29T06:00:00Z""}"
340,normalize,date_normalized,"{""event_date"": ""2012-05-29T06:00:00Z""}"
341,normalize,date_normalized,"{""event_date"": ""2008-02-19T07:00:00Z""}"
342,normalize,date_normalized,"{""event_date"": ""2011-03-09T07:00:00Z""}"
